Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
.22 caliber,4.1,,4.1,,
.38 caliber,4.27,,4.27,,
1 kgs,4.6,,4.6,,
1 samuel,3.09,,3.09,,
10-undecenoic acid,3.82,,3.82,,
15 minutes of fame,2.3,,2.3,,
18-karat gold,4.09,,4.09,,
1st class,2.5,,2.5,,
1st-class mail,3.36,,3.36,,
20/20 vision,3.55,,3.55,,
22-karat gold,4.2,,4.2,,
30 minutes,3.2,,3.2,,
365 days,3.7,,3.7,,
3D printer,4.73,,4.73,,
3D scanner,4.4,,4.4,,
4-H Club,3.9,,3.9,,
8 ball,4.7,,4.7,,
8 ball pool,4.5,,4.5,,
800 number,3.82,,3.82,,
a,1.46,1.46,,,201
a bad break,2.91,,2.91,,
a bad hair day,3.0,,3.0,,
a bad penny always turns up,2.3,,2.3,,
a bad workman always blames his tools,1.67,,1.67,,
a bad workman blames his tools,1.64,,1.64,,
a barking dog never bites,1.3,,1.3,,
a battery,4.2,,4.2,,
a big ask,1.91,,1.91,,
a big deal,2.4,,2.4,,
a big spender,1.8,,1.8,,
a bigger bang for your buck,2.0,,2.0,,
a bird in the hand is worth two in the bush,1.4,,1.4,,
a bit,1.6,,1.6,,
a bit much,2.5,,2.5,,
a bit of,2.73,,2.73,,
a bit of a,1.82,,1.82,,
a bite to eat,3.3,,3.3,,
a bitter pill to swallow,1.8,,1.8,,
a blessing in disguise,2.6,,2.6,,
a blot on the landscape,2.8,,2.8,,
a blowhard,2.6,,2.6,,
a bold face,3.3,,3.3,,
a bolt from the blue,2.55,,2.55,,
a bolt out of the blue,1.8,,1.8,,
a bone of contention,2.3,,2.3,,
a bone to pick,2.4,,2.4,,
a brave face,2.3,,2.3,,
a bull and cow,4.64,,4.64,,
a bullseye on someone's back,1.55,,1.55,,
a bully is always a coward,1.7,,1.7,,
a bunch,3.73,,3.73,,
a bunch of baloney,2.4,,2.4,,
a bunch of fives,2.64,,2.64,,
a bundle of nerves,2.29,,2.29,,
a burnt child dread the fire,2.2,,2.2,,
a burnt child dreads the fire,1.9,,1.9,,
a bushel and a peck,2.71,,2.71,,
a busman's holiday,1.9,,1.9,,
a capella,3.73,,3.73,,
a cappella,2.92,2.92,3.17,,
a cappella singing,3.36,,3.36,,
a card carrying member,3.0,,3.0,,
a card up your sleeve,1.4,,1.4,,
a case of,3.0,,3.0,,
a case of mistaken identity,3.2,,3.2,,
a cash cow,2.2,,2.2,,
a cast-iron stomach,1.83,,1.83,,
a cat has nine lives,2.2,,2.2,,
a cat in gloves catches no mice,1.2,,1.2,,
a cat in hell's chance,1.5,,1.5,,
a cat may look at a king,1.8,,1.8,,
a cat's lick,2.09,,2.09,,
a cat-and-dog life,1.3,,1.3,,
a chain is only as strong as its weakest link,1.8,,1.8,,
a change is as good as a rest,1.73,,1.73,,
a checkered career,2.64,,2.64,,
a chicken in every pot,1.8,,1.8,,
a chin wag,2.8,,2.8,,
a chip off the old block,1.55,,1.55,,
a chip on your shoulder,1.4,,1.4,,
a cold day in hell,1.4,,1.4,,
a cold fish,4.09,,4.09,,
a come on,2.5,,2.5,,
a countenance more in sorrow than in anger,2.2,,2.2,,
a couple,4.4,,4.4,,
a couple of,2.8,,2.8,,
a credit to,2.8,,2.8,,
a curate's egg,2.7,,2.7,,
a cut above,2.3,,2.3,,
a daniel come to judgement,2.3,,2.3,,
a day late and a dollar short,2.45,,2.45,,
a degree of,2.45,,2.45,,
a diamond in the rough,1.73,,1.73,,
a diamond is forever,1.64,,1.64,,
a dicey situation,1.91,,1.91,,
a different kettle of fish,2.27,,2.27,,
a dime a dozen,2.0,,2.0,,
a dish fit for the gods,1.9,,1.9,,
a doddle,2.7,,2.7,,
a dog and pony show,2.27,,2.27,,
a dog is a man's best friend,2.5,,2.5,,
a dog's breakfast,3.0,,3.0,,
a dog's life,3.09,,3.09,,
a dose of your own medicine,1.7,,1.7,,
a doubting thomas,1.8,,1.8,,
a drive,3.0,,3.0,,
a drop in the bucket,2.8,,2.8,,
a drop in the ocean,2.3,,2.3,,
a drowning man will clutch at a straw,1.8,,1.8,,
a dry run,2.3,,2.3,,
a fair shake,2.09,,2.09,,
a far cry from,1.4,,1.4,,
a fat cat,3.73,,3.73,,
a fate worse than death,1.3,,1.3,,
a feather in one's cap,2.0,,2.0,,
a feather in your cap,2.18,,2.18,,
a few,1.6,,1.6,,
a few irons in the fire,1.9,,1.9,,
a fighting chance,2.5,,2.5,,
a fine state of affairs,2.3,,2.3,,
a finger in every pie,3.1,,3.1,,
a firm grip,2.5,,2.5,,
a fish always rots from the head down,1.73,,1.73,,
a fish out of water,2.3,,2.3,,
a fish rots from the head down,2.5,,2.5,,
a flash in the pan,2.7,,2.7,,
a fly in the ointment,2.6,,2.6,,
a fly on the wall,2.09,,2.09,,
a fool and his money are soon parted,1.55,,1.55,,
a fool's paradise,1.9,,1.9,,
a foot in the door,2.82,,2.82,,
a foregone conclusion,2.4,,2.4,,
a freak-out,2.7,,2.7,,
a friend in need is a friend indeed,2.6,,2.6,,
